,ACC_1,ACC_2,ACC_3,BVP_1,EDA_1,HR_1,TEMP_1
-2,-63.94540536645615,-2.66103,38.23349932517047,1.783085875616481,00000,64.0,29.79
-1,-63.94540536645615,-2.66103,38.23349932517047,1.783085875616481,4,64.0,29.79
0,-63.94540536645615,-2.66103,38.23349932517047,1.783085875616481,0.1948748727879417,64.0,29.79
1,18.13071996988799,0.84221,9.14784831503944,0.012750638152585154,0.024275509666169308,113.09,23.49
2,14.988840837241769,-55.01481,-62.96345727479754,0.07839798947115238,0.023736558238718036,110.85,23.63
3,29.822788960869076,0.87244,-1.852604192997,-5.413429575656687,0.025354220361603185,101.26,23.32
4,-60.894071068880606,-11.39693,-30.54962425920095,-57.12399827157234,0.20694852090360838,66.99,21.01
5,-46.747056597049955,0.06767,42.04939311665005,-4.14785861513451,0.18036101374522087,72.86,29.64
6,-62.351024607350105,52.79059,40.05777902099128,-16.114808390600906,0.17744376536566883,111.08,29.65
7,0.48684572581854546,0.56522,-62.6025931871295,-0.1551046095249548,0.02540200413985542,111.88,23.67
8,1.9803976764765925,1.18168,-62.72691818579827,-0.014519752477039537,0.02366594106974235,105.77,22.83
9,35.42336519240369,-56.87079,-1.70507987511635,-0.20109144117033187,0.02421609774688095,110.3,22.86
10,15.229620854928735,36.55589,-1.38604530564435,0.17970949692732724,0.024053863047699364,134.02,23.51
11,36.60135744225141,0.79935,-63.16991826042169,-0.24516510121015084,0.02226863670067953,130.38,23.45
12,-59.54141633222186,3.69068,53.41728462228358,-6.479897079261456,0.1925623289184121,70.31,30.82
13,-13.6858661129144,4.31469,15.04191958393164,-8.233956750628632,0.1917678284227049,64.05,30.77
14,-14.373315828356654,-44.46417,7.43465504185534,-1.9668439746398931,0.1581424646709441,101.77,29.56
15,-50.940539890139924,1.00377,4.52103820365988,-0.23680005014151753,0.025318451766233777,101.48,23.62
16,28.568517947234117,0.25367,-1.58844329964897,0.10723919814519463,0.025077803843672638,109.53,21.3
17,38.99938530033704,38.74908,-27.94281632606396,11.232585390934831,0.024019144796558433,121.01,20.94
18,31.343480456088905,0.8214,-62.94326915901055,-0.16735665826011598,0.025208505716251984,108.86,21.0
19,30.306966879713098,0.63676,-62.32416199339544,-0.10098198098886135,0.025893355092003783,118.09,23.66
